"fact_id","fact_no","fact_name","fact_name_en","order_fact_no","fact_country_code","fact_region_code","enable","fact_name_vn","fact_name_id","fact_timezone","fact_no_merge"
R0gPBhnSQ5aknFY32qqbTQ,"2151",安福YYJ-adidas內銷廠,AnFu,"2151",CN,AnFu,Y,"","",PRC,"2150"
UXsOKT3tRE2HHAYBD5H7Lg,"5010",PCI,PCI,"501A",ID,Serang,Y,"","",Asia/Jakarta,"5010"
ZENtQ6O_QPGtXkL0Qpz9wA,"5080",PGD-adidas外銷廠,PGD,"508A",ID,Sukabumi,Y,"","",Asia/Jakarta,"5080"
"97wdRZ89Q3ypSOwfEah9lA","6030",平政PYV-adidas外銷廠,PYV,"603A",VN,Pingzheng,Y,"","",Asia/Ho_Chi_Minh,"6030"
HnYkFQt4R4O2Z8vhXu_89g,"2150",安福YYJ-adidas外銷廠,AnFu,"215A",CN,AnFu,Y,"","",PRC,"2150"
EXcOKT3aRE2rAYwD5Q7Zs,"5000",PGS,PGS,"500A",ID,Cianjur,Y,"","",Asia/Jakarta,"5000"
wMusebC4R4i3HKNLOrHtbA,"2070",YYA-adidas鞋廠,YYA-adi-FTW,"207A",CN,東莞,Y,"","",PRC,"2070"
