"app_id","app_no","app_desc","update_user","update_time"
mdhV4N11SVqTsb-OLlFJwg,mes-shoe,MES 鞋,20121100001451,1698297602837
lOzJfbb5RWWnIgIUGgUW3Q,mes-sole,MES 化,20121100001451,1698297622573
d6Y0JoAvSUu-FWYHD5igCA,kanban-wms,WMS 看板,20121100001451,
lAKofqtpSOWPvDXTJMkubw,kanban,MES 看板,20121100001451,1702034881338
