"auth_id","user_id","entre_id","fact_id","enable"
UID000E0035010,UID000,E003,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0045010,UID000,E004,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0015010,UID000,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_15010,UID000,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_25010,UID000,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_35010,UID000,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_45010,UID000,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_15080,UID000,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_25080,UID000,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_35080,UID000,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_45080,UID000,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID001E0025010,UID001,E002,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E0035010,UID001,E003,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E0045010,UID001,E004,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E0015010,UID001,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E001_25010,UID001,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E001_35010,UID001,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E001_45010,UID001,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E001_25080,UID001,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID001E001_35080,UID001,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID001E001_45080,UID001,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_12150,UID000,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID000E001_22150,UID000,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID001E001_15010,UID001,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID001E001_15080,UID001,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID002E0025010,UID002,E002,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E0035010,UID002,E003,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E0045010,UID002,E004,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E0015010,UID002,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E001_15010,UID002,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E001_25010,UID002,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E001_35010,UID002,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID002E001_45010,UID002,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID014E001_15010,UID014,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID014E001_25010,UID014,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID014E001_35010,UID014,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID014E001_45010,UID014,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID015E001_15010,UID015,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID015E001_25010,UID015,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID015E001_35010,UID015,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID015E001_45010,UID015,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID016E001_15010,UID016,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID016E001_25010,UID016,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID016E001_35010,UID016,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID016E001_45010,UID016,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID017E001_15010,UID017,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID017E001_25010,UID017,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID017E001_35010,UID017,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID017E001_45010,UID017,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID018E001_15010,UID018,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID018E001_25010,UID018,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID018E001_35010,UID018,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID018E001_45010,UID018,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E001_15010,UID019,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E001_25010,UID019,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E001_35010,UID019,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E001_45010,UID019,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_32150,UID000,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID000E001_42150,UID000,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID000E001_12151,UID000,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID000E001_22151,UID000,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID000E001_32151,UID000,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID000E001_42151,UID000,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID000E001_15000,UID000,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID000E001_25000,UID000,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID000E001_35000,UID000,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID000E001_45000,UID000,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID000E001_16030,UID000,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID000E001_26030,UID000,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID000E001_36030,UID000,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID000E001_46030,UID000,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID019E001_42151,UID019,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID019E001_32151,UID019,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID019E001_22151,UID019,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID019E001_12151,UID019,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID019E001_45080,UID019,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID019E001_35080,UID019,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID019E001_25080,UID019,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID019E001_15080,UID019,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID019E001_46030,UID019,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID019E001_36030,UID019,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID019E001_26030,UID019,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID019E001_16030,UID019,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID019E001_42150,UID019,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID019E001_32150,UID019,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID019E001_22150,UID019,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID019E001_12150,UID019,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID019E001_45000,UID019,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID019E001_35000,UID019,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID019E001_25000,UID019,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID019E001_15000,UID019,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID000E001_12070,UID000,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID000E001_22070,UID000,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID000E001_32070,UID000,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID000E001_42070,UID000,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID001E001_42151,UID001,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID001E001_32151,UID001,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID001E001_22151,UID001,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID001E001_12151,UID001,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID001E001_46030,UID001,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID001E001_36030,UID001,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID001E001_26030,UID001,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID001E001_16030,UID001,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID001E001_42150,UID001,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID001E001_32150,UID001,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
